date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2012-10-27,Sivasspor,Akhisar Belediyespor,1,2,Super Lig,,Turkey,False
2012-10-28,Gaziantepspor,Orduspor,3,0,Super Lig,,Turkey,False
2012-10-28,Karabukspor,Gençlerbirliği,0,0,Super Lig,,Turkey,False
2012-10-28,Trabzonspor,Bursaspor,0,1,Super Lig,,Turkey,False
2012-10-29,Fenerbahçe,Antalyaspor,1,3,Super Lig,,Turkey,False
2012-11-02,Başakşehir,Galatasaray,1,3,Super Lig,,Turkey,False
2012-11-03,Akhisar Belediyespor,Fenerbahçe,1,2,Super Lig,,Turkey,False
2012-11-03,Eskisehirspor,Gaziantepspor,4,0,Super Lig,,Turkey,False
2012-11-03,Kayserispor,Karabukspor,3,0,Super Lig,,Turkey,False
2012-11-04,Beşiktaş,Mersin Idman Yurdu,3,0,Super Lig,,Turkey,False
2012-11-04,Gençlerbirliği,Elazigspor,1,2,Super Lig,,Turkey,False
2012-11-04,Orduspor,Sivasspor,2,0,Super Lig,,Turkey,False
2012-11-05,Antalyaspor,Trabzonspor,2,1,Super Lig,,Turkey,False
2012-11-05,Bursaspor,Kasımpaşa,1,2,Super Lig,,Turkey,False
2012-11-09,Beşiktaş,Bursaspor,3,3,Super Lig,,Turkey,False
2012-11-09,Sivasspor,Eskisehirspor,1,0,Super Lig,,Turkey,False
2012-11-10,Karabukspor,Başakşehir,3,1,Super Lig,,Turkey,False
2012-11-10,Kasımpaşa,Antalyaspor,1,1,Super Lig,,Turkey,False
2012-11-10,Trabzonspor,Akhisar Belediyespor,3,1,Super Lig,,Turkey,False
2012-11-11,Elazigspor,Kayserispor,0,4,Super Lig,,Turkey,False
2012-11-11,Fenerbahçe,Orduspor,2,1,Super Lig,,Turkey,False
2012-11-11,Gaziantepspor,Gençlerbirliği,2,3,Super Lig,,Turkey,False
2012-11-11,Mersin Idman Yurdu,Galatasaray,1,1,Super Lig,,Turkey,False
2012-11-16,Galatasaray,Karabukspor,1,3,Super Lig,,Turkey,False
2012-11-17,Başakşehir,Elazigspor,1,1,Super Lig,,Turkey,False
2012-11-17,Eskisehirspor,Fenerbahçe,1,1,Super Lig,,Turkey,False
2012-11-17,Gençlerbirliği,Sivasspor,1,1,Super Lig,,Turkey,False
2012-11-18,Akhisar Belediyespor,Kasımpaşa,0,2,Super Lig,,Turkey,False
2012-11-18,Antalyaspor,Beşiktaş,3,5,Super Lig,,Turkey,False
2012-11-18,Bursaspor,Mersin Idman Yurdu,3,0,Super Lig,,Turkey,False
2012-11-18,Kayserispor,Gaziantepspor,1,1,Super Lig,,Turkey,False
2012-11-19,Orduspor,Trabzonspor,1,2,Super Lig,,Turkey,False
2012-11-23,Beşiktaş,Akhisar Belediyespor,3,1,Super Lig,,Turkey,False
2012-11-23,Mersin Idman Yurdu,Karabukspor,2,1,Super Lig,,Turkey,False
2012-11-24,Bursaspor,Antalyaspor,1,1,Super Lig,,Turkey,False
2012-11-24,Elazigspor,Galatasaray,0,1,Super Lig,,Turkey,False
2012-11-24,Kasımpaşa,Orduspor,1,1,Super Lig,,Turkey,False
